,gene1,gene2,result
67,G:HGNC:886,G:HGNC:26220,"Meta path:GTG, rank is 200 and total rank is 549"
68,G:HGNC:12587,G:HGNC:29594,"Meta path:GPdPG, rank is 2 and total rank is 14"
69,G:HGNC:391,G:HGNC:11399,"Meta path:GTG, rank is 469 and total rank is 1019"
70,G:HGNC:4637,G:HGNC:16906,"Meta path:GPdPG, rank is 2 and total rank is 17"
71,G:HGNC:18485,G:HGNC:17843,"Meta path:GTG, rank is 204 and total rank is 424"
72,G:HGNC:362,G:HGNC:363,"Meta path:GTG, rank is 7 and total rank is 315"
73,G:HGNC:1133,G:HGNC:3386,"Meta path:GPdPG, rank is 6 and total rank is 48"
74,G:HGNC:9302,G:HGNC:9305,"Meta path:GTG, rank is 21 and total rank is 553"
75,G:HGNC:29149,G:HGNC:9304,"Meta path:GTG, rank is 48 and total rank is 418"
76,G:HGNC:28110,G:HGNC:9300,"Meta path:GTG, rank is 33 and total rank is 391"
77,G:HGNC:7063,G:HGNC:4634,"Meta path:GPdPG, rank is 4 and total rank is 19"
78,G:HGNC:3391,G:HGNC:6524,"Meta path:GPdPG, rank is 27 and total rank is 57"
79,G:HGNC:4637,G:HGNC:7063,"Meta path:GPdPG, rank is 1 and total rank is 12"
80,G:HGNC:21423,G:HGNC:10821,"Meta path:GTG, rank is 47 and total rank is 412"
81,G:HGNC:8356,G:HGNC:16123,no meta path
82,G:HGNC:15436,G:HGNC:40532,no meta path
83,G:HGNC:20330,G:HGNC:208,no meta path
84,G:HGNC:9184,G:HGNC:2255,"Meta path:GMDpDMG, rank is 485 and total rank is 4083"
85,G:HGNC:16713,G:HGNC:11745,"Meta path:GTG, rank is 394 and total rank is 611"
86,G:HGNC:1001,G:HGNC:19201,no meta path
87,G:HGNC:32908,G:HGNC:4426,no meta path
88,G:HGNC:25073,G:HGNC:33619,no meta path
89,G:HGNC:15714,G:HGNC:29091,"Meta path:GTG, rank is 188 and total rank is 444"
90,G:HGNC:21017,G:HGNC:4566,"Meta path:GTG, rank is 416 and total rank is 613"
91,G:HGNC:15130,G:HGNC:24457,no meta path
92,G:HGNC:26094,G:HGNC:2064,"Meta path:GMDMG, rank is 592 and total rank is 2288"
93,G:HGNC:9107,G:HGNC:34390,"Meta path:GMDMG, rank is 2240 and total rank is 3332"
94,G:HGNC:17197,G:HGNC:3036,"Meta path:GMG, rank is 1059 and total rank is 1164"
95,G:HGNC:18755,G:HGNC:861,"Meta path:GMDMG, rank is 1366 and total rank is 2737"
96,G:HGNC:28203,G:HGNC:3299,"Meta path:GMG, rank is 1098 and total rank is 1380"
97,G:HGNC:33727,G:HGNC:25062,no meta path
98,G:HGNC:32777,G:HGNC:6319,no meta path
99,G:HGNC:33927,G:HGNC:14499,no meta path
100,G:HGNC:10977,G:HGNC:20427,no meta path
101,G:HGNC:28323,G:HGNC:12771,"Meta path:GMDMG, rank is 1040 and total rank is 3822"
102,G:HGNC:1171,G:HGNC:11004,no meta path
103,G:HGNC:15194,G:HGNC:4235,no meta path
104,G:HGNC:16319,G:HGNC:31093,no meta path
105,G:HGNC:9632,G:HGNC:10516,no meta path
106,G:HGNC:17720,G:HGNC:20990,"Meta path:GTG, rank is 123 and total rank is 286"
107,G:HGNC:25076,G:HGNC:12659,"Meta path:GMG, rank is 521 and total rank is 1105"
108,G:HGNC:30405,G:HGNC:11868,no meta path
109,G:HGNC:16509,G:HGNC:16027,no meta path
110,G:HGNC:7657,G:HGNC:6358,"Meta path:GMDMG, rank is 2076 and total rank is 2632"
111,G:HGNC:11210,G:HGNC:13077,"Meta path:GMDpDMG, rank is 2576 and total rank is 3556"
112,G:HGNC:35427,G:HGNC:24893,no meta path
113,G:HGNC:28412,G:HGNC:28617,no meta path
114,G:HGNC:7555,G:HGNC:26914,no meta path
115,G:HGNC:26571,G:HGNC:33257,no meta path
116,G:HGNC:27112,G:HGNC:18592,no meta path
117,G:HGNC:15436,G:HGNC:24972,"Meta path:GTG, rank is 179 and total rank is 414"
118,G:HGNC:25069,G:HGNC:12234,no meta path
119,G:HGNC:18089,G:HGNC:32332,no meta path
120,G:HGNC:8490,G:HGNC:32233,"Meta path:GMG, rank is 935 and total rank is 1037"
121,G:HGNC:26313,G:HGNC:30084,no meta path
122,G:HGNC:26007,G:HGNC:1421,"Meta path:GMDMG, rank is 2428 and total rank is 2751"
123,G:HGNC:28379,G:HGNC:24031,"Meta path:GMDpDMG, rank is 224 and total rank is 3862"
124,G:HGNC:13875,G:HGNC:27286,no meta path
125,G:HGNC:11726,G:HGNC:7690,"Meta path:GMG, rank is 288 and total rank is 634"
126,G:HGNC:31617,G:HGNC:24846,no meta path
127,G:HGNC:30362,G:HGNC:32031,no meta path
128,G:HGNC:21374,G:HGNC:20758,no meta path
129,G:HGNC:3121,G:HGNC:1043,"Meta path:GTG, rank is 458 and total rank is 559"
130,G:HGNC:3439,G:HGNC:28226,"Meta path:GTG, rank is 77 and total rank is 479"
131,G:HGNC:25395,G:HGNC:24537,"Meta path:GTG, rank is 374 and total rank is 485"
132,G:HGNC:27252,G:HGNC:16118,no meta path
133,G:HGNC:13176,G:HGNC:441,"Meta path:GTG, rank is 339 and total rank is 525"
134,G:HGNC:30511,G:HGNC:24867,"Meta path:GTG, rank is 93 and total rank is 321"
135,G:HGNC:23200,G:HGNC:19985,"Meta path:GTG, rank is 53 and total rank is 418"
136,G:HGNC:16847,G:HGNC:17801,no meta path
137,G:HGNC:5733,G:HGNC:29208,"Meta path:GTG, rank is 206 and total rank is 370"
138,G:HGNC:26300,G:HGNC:4739,"Meta path:GTG, rank is 340 and total rank is 495"
139,G:HGNC:25542,G:HGNC:5962,"Meta path:GMG, rank is 972 and total rank is 1116"
140,G:HGNC:24061,G:HGNC:24114,"Meta path:GTG, rank is 99 and total rank is 344"
141,G:HGNC:12831,G:HGNC:38223,no meta path
142,G:HGNC:11646,G:HGNC:12868,"Meta path:GMG, rank is 22 and total rank is 327"
143,G:HGNC:3145,G:HGNC:15880,"Meta path:GTG, rank is 157 and total rank is 332"
144,G:HGNC:4789,G:HGNC:31022,"Meta path:GTG, rank is 90 and total rank is 491"
145,G:HGNC:8980,G:HGNC:49973,no meta path
146,G:HGNC:18703,G:HGNC:27904,"Meta path:GMDMG, rank is 1875 and total rank is 3080"
147,G:HGNC:3942,G:HGNC:2237,"Meta path:GTG, rank is 576 and total rank is 890"
148,G:HGNC:37265,G:HGNC:9192,"Meta path:GTG, rank is 201 and total rank is 494"
149,G:HGNC:23687,G:HGNC:24928,"Meta path:GMDMG, rank is 1660 and total rank is 4535"
150,G:HGNC:29070,G:HGNC:26181,no meta path
151,G:HGNC:2209,G:HGNC:32573,no meta path
152,G:HGNC:7857,G:HGNC:26714,"Meta path:GTG, rank is 83 and total rank is 314"
153,G:HGNC:5414,G:HGNC:9237,"Meta path:GTG, rank is 714 and total rank is 772"
154,G:HGNC:28207,G:HGNC:21360,no meta path
155,G:HGNC:8135,G:HGNC:707,no meta path
156,G:HGNC:4868,G:HGNC:15169,no meta path
157,G:HGNC:26438,G:HGNC:16216,no meta path
158,G:HGNC:10596,G:HGNC:1708,"Meta path:GTG, rank is 79 and total rank is 364"
159,G:HGNC:31677,G:HGNC:18094,no meta path
160,G:HGNC:11571,G:HGNC:10961,"Meta path:GMG, rank is 689 and total rank is 823"
161,G:HGNC:31922,G:HGNC:18106,no meta path
162,G:HGNC:24451,G:HGNC:11193,"Meta path:GTG, rank is 163 and total rank is 455"
163,G:HGNC:10610,G:HGNC:13068,"Meta path:GTG, rank is 466 and total rank is 568"
164,G:HGNC:1711,G:HGNC:6697,"Meta path:GTG, rank is 305 and total rank is 531"
165,G:HGNC:9240,G:HGNC:19141,"Meta path:GTG, rank is 305 and total rank is 537"
166,G:HGNC:2763,G:HGNC:7880,no meta path
167,G:HGNC:15906,G:HGNC:26076,"Meta path:GMDMG, rank is 1485 and total rank is 2300"
168,G:HGNC:15283,G:HGNC:23822,"Meta path:GTG, rank is 45 and total rank is 257"
169,G:HGNC:25323,G:HGNC:31911,no meta path
170,G:HGNC:26563,G:HGNC:31770,no meta path
171,G:HGNC:20175,G:HGNC:33202,no meta path
172,G:HGNC:14955,G:HGNC:7188,"Meta path:GTG, rank is 113 and total rank is 485"
173,G:HGNC:24718,G:HGNC:29642,no meta path
174,G:HGNC:20060,G:HGNC:12958,"Meta path:GTG, rank is 53 and total rank is 301"
175,G:HGNC:34377,G:HGNC:19074,no meta path
176,G:HGNC:604,G:HGNC:17173,"Meta path:GTG, rank is 220 and total rank is 479"
177,G:HGNC:9612,G:HGNC:23924,"Meta path:GTG, rank is 654 and total rank is 789"
178,G:HGNC:29545,G:HGNC:24692,no meta path
