,gene1,gene2,result
62,G:HGNC:7462,G:HGNC:7456,"Meta path:['GPdPG'], rank is 1 and total rank is 15"
63,G:HGNC:10481,G:HGNC:12434,"Meta path:['GTG', 'GMDpDMG'], rank is 99 and total rank is 11169"
64,G:HGNC:9381,G:HGNC:392,"Meta path:['GTG'], rank is 100 and total rank is 622"
65,G:HGNC:9870,G:HGNC:21406,"Meta path:['GDpDpDG', 'GTG', 'GMDMG', 'GMDpDMG'], rank is 6 and total rank is 2188"
66,G:HGNC:10251,G:HGNC:13480,"Meta path:['GTG'], rank is 226 and total rank is 729"
67,G:HGNC:4125,G:HGNC:23233,"Meta path:['GTG'], rank is 15 and total rank is 323"
68,G:HGNC:9288,G:HGNC:9275,"Meta path:['GTG'], rank is 328 and total rank is 470"
69,G:HGNC:1863,G:HGNC:26459,"Meta path:['GTG'], rank is 7 and total rank is 251"
70,G:HGNC:13480,G:HGNC:392,"Meta path:['GTG'], rank is 157 and total rank is 585"
71,G:HGNC:851,G:HGNC:854,"Meta path:['GTG'], rank is 1 and total rank is 458"
72,G:HGNC:4637,G:HGNC:4634,"Meta path:['GPdPG'], rank is 4 and total rank is 19"
73,G:HGNC:8957,G:HGNC:3046,"Meta path:['GDpDG', 'GTG', 'GMDMG'], rank is 1 and total rank is 778"
74,G:HGNC:9402,G:HGNC:1985,"Meta path:['GPdPG'], rank is 3 and total rank is 44"
75,G:HGNC:391,G:HGNC:9395,"Meta path:['GPdPG'], rank is 15 and total rank is 47"
76,G:HGNC:9031,G:HGNC:17825,"Meta path:['GTG'], rank is 16 and total rank is 429"
77,G:HGNC:2730,G:HGNC:2444,"Meta path:['GPdPG'], rank is 7 and total rank is 44"
78,G:HGNC:13538,G:HGNC:392,"Meta path:['GTG'], rank is 236 and total rank is 626"
79,G:HGNC:7849,G:HGNC:7851,"Meta path:['GTG'], rank is 25 and total rank is 576"
80,G:HGNC:13538,G:HGNC:6849,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
