,gene1,gene2,result
66,G:HGNC:1583,G:HGNC:20155,"Meta path:GTG, rank is 223 and total rank is 517"
67,G:HGNC:19741,G:HGNC:10571,"Meta path:GMG, rank is 573 and total rank is 1940"
68,G:HGNC:25856,G:HGNC:24121,"Meta path:GMG, rank is 1823 and total rank is 1843"
69,G:HGNC:28994,G:HGNC:19009,"Meta path:GMG, rank is 1059 and total rank is 1584"
70,G:HGNC:195,G:HGNC:994,"Meta path:GTG, rank is 454 and total rank is 642"
71,G:HGNC:13633,G:HGNC:19088,"Meta path:GTG, rank is 642 and total rank is 685"
72,G:HGNC:18584,G:HGNC:17175,"Meta path:GTG, rank is 157 and total rank is 417"
73,G:HGNC:14048,G:HGNC:28473,"Meta path:GTG, rank is 39 and total rank is 325"
74,G:HGNC:3826,G:HGNC:17197,"Meta path:GMG, rank is 769 and total rank is 1402"
75,G:HGNC:2553,G:HGNC:1363,"Meta path:GMG, rank is 540 and total rank is 1539"
76,G:HGNC:3017,G:HGNC:12473,"Meta path:GTG, rank is 435 and total rank is 633"
77,G:HGNC:3176,G:HGNC:23664,"Meta path:GTG, rank is 517 and total rank is 669"
78,G:HGNC:7579,G:HGNC:14929,"Meta path:GMDMG, rank is 164 and total rank is 6983"
79,G:HGNC:1473,G:HGNC:23480,"Meta path:GMDMG, rank is 225 and total rank is 6912"
80,G:HGNC:8591,G:HGNC:30297,"Meta path:GTG, rank is 224 and total rank is 660"
81,G:HGNC:652,G:HGNC:12939,"Meta path:GMDMG, rank is 1581 and total rank is 5029"
82,G:HGNC:8620,G:HGNC:17755,"Meta path:GMG, rank is 1313 and total rank is 1395"
83,G:HGNC:3017,G:HGNC:23846,"Meta path:GTG, rank is 108 and total rank is 510"
84,G:HGNC:4392,G:HGNC:8846,"Meta path:GTG, rank is 349 and total rank is 527"
85,G:HGNC:12784,G:HGNC:12998,"Meta path:GMDpDMG, rank is 518 and total rank is 7760"
