gene1,gene2,label,meta_path,rank_percent
G:HGNC:30511,G:HGNC:24867,0,GTG,0.71
G:HGNC:23200,G:HGNC:19985,0,GTG,0.873
G:HGNC:5733,G:HGNC:29208,0,GTG,0.443
G:HGNC:26300,G:HGNC:4739,0,GTG,0.313
G:HGNC:25542,G:HGNC:5962,0,GMDMG,0.183
G:HGNC:24061,G:HGNC:24114,0,GTG,0.712
G:HGNC:11646,G:HGNC:12868,0,GMDMG,0.955
G:HGNC:3145,G:HGNC:15880,0,GTG,0.527
G:HGNC:4789,G:HGNC:31022,0,GTG,0.817
G:HGNC:18703,G:HGNC:27904,0,GMDMG,0.391
G:HGNC:3942,G:HGNC:2237,0,GTG,0.353
G:HGNC:37265,G:HGNC:9192,0,GTG,0.593
G:HGNC:23687,G:HGNC:24928,0,GMDMG,0.634
G:HGNC:7857,G:HGNC:26714,0,GTG,0.736
G:HGNC:5414,G:HGNC:9237,0,GTG,0.075
G:HGNC:10596,G:HGNC:1708,0,GTG,0.783
G:HGNC:11571,G:HGNC:10961,0,GMDMG,0.723
G:HGNC:24451,G:HGNC:11193,0,GTG,0.642
G:HGNC:10610,G:HGNC:13068,0,GTG,0.18
G:HGNC:1711,G:HGNC:6697,0,GTG,0.426
G:HGNC:9240,G:HGNC:19141,0,GTG,0.432
G:HGNC:15906,G:HGNC:26076,0,GMDMG,0.355
G:HGNC:15283,G:HGNC:23822,0,GTG,0.825
G:HGNC:14955,G:HGNC:7188,0,GTG,0.767
G:HGNC:20060,G:HGNC:12958,0,GTG,0.824
G:HGNC:604,G:HGNC:17173,0,GTG,0.541
G:HGNC:9612,G:HGNC:23924,0,GTG,0.171
G:HGNC:24250,G:HGNC:5270,0,GMG,0.918
G:HGNC:3559,G:HGNC:1317,0,GMDMG,0.726
G:HGNC:6518,G:HGNC:11052,0,GMG,0.565
G:HGNC:602,G:HGNC:24891,0,GTG,0.346
G:HGNC:13922,G:HGNC:19354,0,GTG,0.595
G:HGNC:2606,G:HGNC:8624,0,GMDpDMG,1
G:HGNC:2252,G:HGNC:12680,0,GTG,0.473
G:HGNC:3430,G:HGNC:13054,0,GTG,0.235
G:HGNC:14872,G:HGNC:12458,0,GMDMG,0.336
G:HGNC:21496,G:HGNC:15986,0,GMG,0.755
