"","gene1","gene2","HGNCID1","HGNCID2","Lin_BP","Lin_CC","Lin_MF","Resnik_BP","Resnik_CC","Resnik_MF","Wang_BP","Wang_CC","Wang_MF","Label"
"232","NM_004374","NM_004373","HGNC:2285","HGNC:2277","1","1","0","0.533","0.311","0","1","1","0",1
"233","NM_016281","NM_001081640","HGNC:18133","HGNC:9413","0.656","0","0.621","0.252","0","0.146","0.531","0","0.73",1
"234","NM_005607","NM_001005861","HGNC:9611","HGNC:10481","0.602","0.655","0.253","0.245","0.085","0.04","0.558","0.693","0.491",1
"235","NM_012126","NM_004807","HGNC:1973","HGNC:5201","0.471","0.879","1","0.251","0.273","0.501","0.361","0.796","1",1
"236","NM_002715","NM_030768","HGNC:9299","HGNC:15566","0","0.549","1","0","0.088","0.067","0","0.627","1",1
"237","NM_006741","NM_006241","HGNC:9286","HGNC:9288","0","0","1","0","0","0.404","0","0","1",1
"238","NM_002161","NM_018060","HGNC:5330","HGNC:29685","1","0.475","1","0.538","0.09","0.818","1","0.596","1",1
"239","NM_002715","NM_147180","HGNC:9299","HGNC:9318","0","0","1","0","0","0.067","0","0","1",1
"240","NM_054110","NM_024572","HGNC:21531","HGNC:22946","1","1","0","0.547","0.327","0","1","1","0",1
"241","NM_005114","NM_006042","HGNC:5194","HGNC:5196","1","0.703","1","0.479","0.299","0.501","1","0.696","1",1
"242","NM_002717","NM_002718","HGNC:9304","HGNC:9307","0.399","1","1","0.158","0.607","0.067","0.421","1","1",1
"243","NM_181876","NM_001009552","HGNC:9306","HGNC:9300","0","1","0.449","0","0.607","0.04","0","1","0.6",1
"244","NM_181690","NM_006255","HGNC:393","HGNC:9403","0.529","0","0.442","0.218","0","0.039","0.444","0","0.538",1
"245","NM_005607","NM_002529","HGNC:9611","HGNC:8031","0.688","0.36","0.566","0.287","0.079","0.16","0.643","0.523","0.728",1
"246","NM_001114633","NM_213600","HGNC:9036","HGNC:27396","0.722","1","0","0.398","0.175","0","0.731","1","0",1
"247","NM_001001396","NM_021949","HGNC:817","HGNC:816","0.492","0.455","0.454","0.223","0.101","0.118","0.38","0.465","0.582",1
"248","NM_000294","NM_006213","HGNC:8931","HGNC:8930","0.88","1","0","0.526","0.175","0","0.683","1","0",1
"249","NM_003166","NM_001017389","HGNC:11455","HGNC:30004","1","1","0","0.587","0.175","0","1","1","0",1
"250","NM_014568","NM_198516","HGNC:4127","HGNC:30488","0.917","0","1","0.463","0","0.6","0.96","1","1",1
"251","NM_002706","NM_145049","HGNC:9276","HGNC:28110","1","0.56","1","0.385","0.157","0.281","1","0.638","1",1
"252","NM_014568","NM_198321","HGNC:4127","HGNC:19873","0.902","1","1","0.471","0.327","0.6","0.834","1","1",1
"253","NM_030965","NM_001004470","HGNC:19342","HGNC:23317","0.846","1","1","0.481","0.327","0.521","0.712","1","1",1
"254","NM_006282","NM_014683","HGNC:11408","HGNC:13480","0.368","0.229","0.563","0.142","0.091","0.115","0.401","0.518","0.714",1
"255","NM_145049","NM_002718","HGNC:28110","HGNC:9307","1","0.1","1","0.385","0.036","0.067","1","0.392","1",1
"256","NM_002576","NM_003157","HGNC:8590","HGNC:11399","0.513","0.33","0.464","0.188","0.049","0.147","0.436","0.501","0.547",1
"257","NM_002641","NM_153747","HGNC:8957","HGNC:8960","0.847","0.897","0.494","0.486","0.432","0.134","0.815","0.843","0.527",1
"258","NM_000944","NM_002720","HGNC:9314","HGNC:9319","0.458","0.659","0.536","0.197","0.128","0.159","0.326","0.746","0.724",1
"259","NM_005167","NM_147180","HGNC:20785","HGNC:9318","0","0","0","0","0","0","0","0","0",1
"260","NM_005246","NM_004383","HGNC:3655","HGNC:2444","0.44","0.488","0.612","0.19","0.089","0.158","0.37","0.587","0.823",1
"261","NM_015020","NM_145049","HGNC:29149","HGNC:28110","0.061","0.291","1","0.028","0.036","0.067","0.052","0.439","1",1
"262","NM_004431","NM_002019","HGNC:3386","HGNC:3763","0.624","0.573","0.72","0.266","0.164","0.287","0.561","0.664","0.899",1
"263","NM_022819","NM_001128203","HGNC:30040","HGNC:17825","0.745","0.577","1","0.437","0.11","0.559","0.734","0.77","1",1
"264","NM_005356","NM_002529","HGNC:6524","HGNC:8031","0.534","0.518","0.476","0.222","0.148","0.133","0.47","0.517","0.692",1
"265","NM_005605","NM_181678","HGNC:9316","HGNC:9305","0","0.424","1","0","0.088","0.067","0","0.546","1",1
"266","NM_005605","NM_152542","HGNC:9316","HGNC:25415","0.311","0.433","1","0.146","0.088","0.067","0.198","0.566","1",1
"267","NM_022467","NM_021615","HGNC:15993","HGNC:6938","0.601","0.813","0.688","0.276","0.252","0.501","0.483","0.714","0.729",1
"268","NM_000489","NM_025049","HGNC:886","HGNC:26220","0.543","1","0.268","0.279","0.455","0.158","0.39","1","0.343",1
"269","NM_006003","NM_014402","HGNC:12587","HGNC:29594","1","0.89","0","0.71","0.331","0","1","0.891","0",1
"270","NM_005163","NM_003157","HGNC:391","HGNC:11399","0.443","0.501","0.393","0.169","0.063","0.138","0.38","0.62","0.429",1
"271","NM_000851","NM_015917","HGNC:4637","HGNC:16906","0.553","0.503","0.722","0.336","0.134","0.23","0.55","0.547","0.838",1
"272","NM_018146","NM_024831","HGNC:18485","HGNC:17843","0.673","0.395","0.718","0.515","0.094","0.272","0.712","0.579","0.694",1
"273","NM_001625","NM_013410","HGNC:362","HGNC:363","1","0.561","1","0.587","0.228","0.661","1","0.579","1",1
"274","NM_000061","NM_004431","HGNC:1133","HGNC:3386","0.446","0.349","0.622","0.2","0.072","0.164","0.397","0.508","0.644",1
"275","NM_014225","NM_181678","HGNC:9302","HGNC:9305","0","0.483","1","0","0.129","0.067","0","0.557","1",1
"276","NM_015020","NM_002717","HGNC:29149","HGNC:9304","0.306","0.601","1","0.157","0.1","0.067","0.113","0.743","1",1
"277","NM_145049","NM_001009552","HGNC:28110","HGNC:9300","1","0.185","0.849","0.385","0.036","0.238","1","0.374","0.938",1
"278","NM_002413","NM_000848","HGNC:7063","HGNC:4634","0.537","0.344","0.684","0.314","0.093","0.269","0.431","0.478","0.798",1
"279","NM_020526","NM_005356","HGNC:3391","HGNC:6524","0.568","0.432","0.751","0.233","0.104","0.382","0.44","0.525","0.596",1
"280","NM_000851","NM_002413","HGNC:4637","HGNC:7063","0.528","0.189","0.69","0.311","0.039","0.239","0.531","0.382","0.76",1
