,gene1,gene2,ins,mPath,score
0,G:HGNC:8923,G:HGNC:1188,2,GMG,0.10256410256410256
1,G:HGNC:8923,G:HGNC:868,1,GTG,0.041666666666666664
2,G:HGNC:8923,G:HGNC:868,1,GMG,0.028985507246376812
3,G:HGNC:8923,G:HGNC:18305,1,GTG,0.05
4,G:HGNC:8923,G:HGNC:18305,1,GMG,0.08
5,G:HGNC:8923,G:HGNC:851,2,GTG,0.0975609756097561
6,G:HGNC:8923,G:HGNC:851,1,GMG,0.03076923076923077
7,G:HGNC:8923,G:HGNC:853,3,GTG,0.10344827586206896
8,G:HGNC:8923,G:HGNC:854,2,GTG,0.08888888888888889
9,G:HGNC:8923,G:HGNC:856,2,GTG,0.10256410256410256
10,G:HGNC:8923,G:HGNC:856,1,GMG,0.030303030303030304
11,G:HGNC:8923,G:HGNC:18264,2,GTG,0.11428571428571428
12,G:HGNC:8923,G:HGNC:13527,2,GTG,0.09523809523809523
13,G:HGNC:8923,G:HGNC:857,2,GTG,0.1
14,G:HGNC:8923,G:HGNC:18125,1,GTG,0.06451612903225806
15,G:HGNC:8923,G:HGNC:16832,2,GTG,0.10810810810810811
16,G:HGNC:8923,G:HGNC:16832,1,GMG,0.038461538461538464
17,G:HGNC:8923,G:HGNC:864,2,GTG,0.10256410256410256
18,G:HGNC:8923,G:HGNC:862,1,GTG,0.0625
19,G:HGNC:8923,G:HGNC:18265,1,GTG,0.0625
20,G:HGNC:8923,G:HGNC:18303,2,GTG,0.1
21,G:HGNC:8923,G:HGNC:18303,1,GMG,0.10526315789473684
22,G:HGNC:8923,G:HGNC:865,2,GTG,0.08163265306122448
23,G:HGNC:8923,G:HGNC:866,1,GTG,0.043478260869565216
24,G:HGNC:8923,G:HGNC:855,1,GTG,0.044444444444444446
25,G:HGNC:8923,G:HGNC:13724,2,GTG,0.0784313725490196
26,G:HGNC:8923,G:HGNC:13724,1,GMG,0.07142857142857142
27,G:HGNC:8923,G:HGNC:18266,1,GTG,0.047619047619047616
28,G:HGNC:8923,G:HGNC:869,2,GTG,0.03508771929824561
29,G:HGNC:8923,G:HGNC:870,2,GMG,0.16
30,G:HGNC:8923,G:HGNC:13531,1,GTG,0.045454545454545456
31,G:HGNC:8923,G:HGNC:13534,1,GMG,0.08695652173913043
32,G:HGNC:8923,G:HGNC:24215,1,GMG,0.09090909090909091
33,G:HGNC:8923,G:HGNC:30213,1,GMG,0.10526315789473684
34,G:HGNC:8923,G:HGNC:24113,1,GMG,0.03508771929824561
35,G:HGNC:8923,G:HGNC:25422,1,GMG,0.03225806451612903
36,G:HGNC:8923,G:HGNC:29452,1,GTG,0.058823529411764705
37,G:HGNC:8923,G:HGNC:18803,1,GMG,0.1
38,G:HGNC:8923,G:HGNC:18802,1,GTG,0.07692307692307693
39,G:HGNC:8923,G:HGNC:24090,1,GTG,0.058823529411764705
40,G:HGNC:8923,G:HGNC:885,1,GTG,0.05555555555555555
41,G:HGNC:8923,G:HGNC:886,2,GMG,0.16
42,G:HGNC:8923,G:HGNC:10548,2,GTG,0.08695652173913043
43,G:HGNC:8923,G:HGNC:10548,2,GMG,0.026143790849673203
44,G:HGNC:8923,G:HGNC:33279,1,GTG,0.05128205128205128
