gene1,gene2
HGNC:13211,HGNC:3771
HGNC:414,HGNC:15919
HGNC:8754,HGNC:5157
HGNC:8778,HGNC:5201
HGNC:4816,HGNC:11559
HGNC:1062,HGNC:20324
HGNC:18986,HGNC:17964
HGNC:473,HGNC:7413
HGNC:4922,HGNC:7708
HGNC:7530,HGNC:3356
HGNC:4801,HGNC:7530
HGNC:11120,HGNC:16066
HGNC:6530,HGNC:3518
HGNC:8547,HGNC:21406
HGNC:4313,HGNC:6619
HGNC:9155,HGNC:24861
HGNC:3046,HGNC:11449
HGNC:20580,HGNC:6937
HGNC:7436,HGNC:6050
HGNC:2731,HGNC:2280
HGNC:19743,HGNC:1377
HGNC:3631,HGNC:19743
HGNC:3535,HGNC:2852
HGNC:8925,HGNC:9060
HGNC:886,HGNC:8786
HGNC:6522,HGNC:1476
HGNC:15868,HGNC:9588
HGNC:18986,HGNC:393
HGNC:8806,HGNC:1442
HGNC:361,HGNC:4162
HGNC:177,HGNC:30881
HGNC:5154,HGNC:4570
HGNC:257,HGNC:12513
HGNC:4115,HGNC:468
HGNC:417,HGNC:6522
HGNC:7450,HGNC:2592
HGNC:4193,HGNC:1037
HGNC:10545,HGNC:23159
HGNC:4799,HGNC:8840
HGNC:8877,HGNC:15925
HGNC:8108,HGNC:438
HGNC:15629,HGNC:9279
HGNC:18062,HGNC:7892
HGNC:19331,HGNC:7713
HGNC:10872,HGNC:12877
HGNC:1500,HGNC:414
HGNC:4296,HGNC:16066
HGNC:8636,HGNC:2330
HGNC:7631,HGNC:5005
HGNC:11559,HGNC:29685
HGNC:9413,HGNC:29958
HGNC:9067,HGNC:2858
HGNC:37276,HGNC:20093
HGNC:2898,HGNC:409
HGNC:25135,HGNC:9402
HGNC:23,HGNC:175
HGNC:25792,HGNC:19316
HGNC:20580,HGNC:251
HGNC:7713,HGNC:8592
HGNC:11503,HGNC:29932
HGNC:9725,HGNC:11831
HGNC:25792,HGNC:251
HGNC:9411,HGNC:7708
HGNC:11831,HGNC:2896
HGNC:3438,HGNC:6522
HGNC:30881,HGNC:4341
HGNC:1502,HGNC:4801
HGNC:9721,HGNC:8975
HGNC:291,HGNC:8654
HGNC:4021,HGNC:19358
HGNC:3418,HGNC:869
HGNC:3642,HGNC:19139
HGNC:11120,HGNC:6193
HGNC:11257,HGNC:3706
HGNC:4455,HGNC:2328
HGNC:7473,HGNC:3579
HGNC:6831,HGNC:10294
HGNC:8923,HGNC:2519
HGNC:1442,HGNC:11777
HGNC:18704,HGNC:794
HGNC:26222,HGNC:24862
HGNC:13345,HGNC:1912
HGNC:3642,HGNC:8028
HGNC:18518,HGNC:1442
