,gene1,gene2,ins,mPath,score
0,G:HGNC:9236,G:HGNC:9688,2,GDpDG,0.046511627906976744
1,G:HGNC:9236,G:HGNC:9688,272,GDpDpDG,0.128060263653484
2,G:HGNC:9236,G:HGNC:9688,7,GTG,0.0979020979020979
3,G:HGNC:9236,G:HGNC:10690,3,GTG,0.044444444444444446
4,G:HGNC:9236,G:HGNC:9400,3,GTG,0.04477611940298507
5,G:HGNC:9236,G:HGNC:33742,4,GTG,0.05925925925925926
6,G:HGNC:9236,G:HGNC:1536,5,GTG,0.07462686567164178
7,G:HGNC:9236,G:HGNC:1537,5,GTG,0.07246376811594203
8,G:HGNC:9236,G:HGNC:1539,229,GDpDpDG,0.053617419808007494
9,G:HGNC:9236,G:HGNC:1539,11,GTG,0.14102564102564102
10,G:HGNC:9236,G:HGNC:1541,192,GDpDpDG,0.048344454236434596
11,G:HGNC:9236,G:HGNC:1541,5,GTG,0.055865921787709494
12,G:HGNC:9236,G:HGNC:1542,5,GTG,0.07142857142857142
13,G:HGNC:9236,G:HGNC:15961,2,GTG,0.02877697841726619
14,G:HGNC:9236,G:HGNC:4268,10,GDpDpDG,0.038910505836575876
15,G:HGNC:9236,G:HGNC:21225,4,GTG,0.05673758865248227
16,G:HGNC:9236,G:HGNC:1543,1,GTG,0.014184397163120567
17,G:HGNC:9236,G:HGNC:1548,3,GPdPG,0.07317073170731707
18,G:HGNC:9236,G:HGNC:1548,107,GPdPdPG,0.10604558969276512
19,G:HGNC:9236,G:HGNC:1548,2,GTG,0.02962962962962963
20,G:HGNC:9236,G:HGNC:1549,3,GTG,0.04477611940298507
21,G:HGNC:9236,G:HGNC:25891,1,GTG,0.014388489208633094
22,G:HGNC:9236,G:HGNC:1550,132,GDpDpDG,0.0968096809680968
23,G:HGNC:9236,G:HGNC:1550,5,GTG,0.06493506493506493
24,G:HGNC:9236,G:HGNC:51829,1,GTG,0.014814814814814815
25,G:HGNC:9236,G:HGNC:1551,6,GTG,0.08450704225352113
26,G:HGNC:9236,G:HGNC:1552,7,GTG,0.10218978102189781
27,G:HGNC:9236,G:HGNC:1553,7,GTG,0.0958904109589041
28,G:HGNC:9236,G:HGNC:1554,8,GTG,0.1111111111111111
29,G:HGNC:9236,G:HGNC:1555,6,GPdPdPG,0.005772005772005772
30,G:HGNC:9236,G:HGNC:1555,8,GTG,0.10256410256410256
31,G:HGNC:9236,G:HGNC:1556,4,GTG,0.057971014492753624
32,G:HGNC:9236,G:HGNC:1557,5,GTG,0.07575757575757576
33,G:HGNC:9236,G:HGNC:15962,4,GTG,0.05714285714285714
34,G:HGNC:9236,G:HGNC:1307,6,GTG,0.08450704225352113
35,G:HGNC:9236,G:HGNC:30237,36,GDpDpDG,0.07114624505928854
36,G:HGNC:9236,G:HGNC:30237,5,GTG,0.07352941176470588
37,G:HGNC:9236,G:HGNC:29386,6,GTG,0.09230769230769231
38,G:HGNC:9236,G:HGNC:29253,1,GDpDG,0.022988505747126436
39,G:HGNC:9236,G:HGNC:29253,385,GDpDpDG,0.06768040784037971
40,G:HGNC:9236,G:HGNC:29253,2,GTG,0.02877697841726619
41,G:HGNC:9236,G:HGNC:24236,5,GTG,0.07142857142857142
42,G:HGNC:9236,G:HGNC:23360,9,GTG,0.11392405063291139
43,G:HGNC:9236,G:HGNC:29426,1,GDpDG,0.02127659574468085
44,G:HGNC:9236,G:HGNC:29426,258,GDpDpDG,0.05747382490532413
45,G:HGNC:9236,G:HGNC:29426,1,GTG,0.014184397163120567
46,G:HGNC:9236,G:HGNC:23813,1,GTG,0.015625
47,G:HGNC:9236,G:HGNC:18782,2,GTG,0.03076923076923077
48,G:HGNC:9236,G:HGNC:25367,117,GDpDpDG,0.09944751381215469
49,G:HGNC:9236,G:HGNC:25367,3,GTG,0.04477611940298507
50,G:HGNC:9236,G:HGNC:24560,1,GTG,0.016
51,G:HGNC:9236,G:HGNC:28332,1,GTG,0.015873015873015872
52,G:HGNC:9236,G:HGNC:26358,3,GTG,0.045454545454545456
53,G:HGNC:9236,G:HGNC:25766,1,GTG,0.015625
54,G:HGNC:9236,G:HGNC:26574,1,GTG,0.016129032258064516
55,G:HGNC:9236,G:HGNC:28909,163,GDpDpDG,0.053468919140560935
56,G:HGNC:9236,G:HGNC:28909,3,GTG,0.04285714285714286
57,G:HGNC:9236,G:HGNC:28688,1,GTG,0.016
58,G:HGNC:9236,G:HGNC:25591,1,GTG,0.016129032258064516
59,G:HGNC:9236,G:HGNC:28416,1,GTG,0.016129032258064516
60,G:HGNC:9236,G:HGNC:21098,1,GTG,0.016129032258064516
61,G:HGNC:9236,G:HGNC:28163,1,GTG,0.015748031496062992
62,G:HGNC:9236,G:HGNC:28295,1,GTG,0.016129032258064516
63,G:HGNC:9236,G:HGNC:26552,1,GTG,0.016129032258064516
64,G:HGNC:9236,G:HGNC:27945,1,GTG,0.015267175572519083
65,G:HGNC:9236,G:HGNC:25244,1,GTG,0.013888888888888888
66,G:HGNC:9236,G:HGNC:26528,1,GTG,0.016
67,G:HGNC:9236,G:HGNC:26472,2,GTG,0.032
68,G:HGNC:9236,G:HGNC:24856,1,GTG,0.014705882352941176
69,G:HGNC:9236,G:HGNC:18111,2,GTG,0.031496062992125984
70,G:HGNC:9236,G:HGNC:27564,1,GTG,0.016129032258064516
71,G:HGNC:9236,G:HGNC:25005,2,GTG,0.031496062992125984
72,G:HGNC:9236,G:HGNC:28610,1,GTG,0.016129032258064516
73,G:HGNC:9236,G:HGNC:30723,6,GTG,0.09022556390977443
74,G:HGNC:9236,G:HGNC:29937,3,GDpDpDG,0.007194244604316547
75,G:HGNC:9236,G:HGNC:27709,1,GTG,0.014285714285714285
76,G:HGNC:9236,G:HGNC:24350,1,GTG,0.015503875968992248
77,G:HGNC:9236,G:HGNC:24487,1,GTG,0.015384615384615385
78,G:HGNC:9236,G:HGNC:25303,1,GTG,0.015873015873015872
79,G:HGNC:9236,G:HGNC:26685,1,GTG,0.016
80,G:HGNC:9236,G:HGNC:14153,27,GDpDpDG,0.05921052631578947
81,G:HGNC:9236,G:HGNC:14153,1,GTG,0.015267175572519083
82,G:HGNC:9236,G:HGNC:24926,5,GTG,0.07633587786259542
83,G:HGNC:9236,G:HGNC:28359,2,GTG,0.03125
84,G:HGNC:9236,G:HGNC:25579,2,GTG,0.031007751937984496
85,G:HGNC:9236,G:HGNC:25523,76,GDpDpDG,0.04766384446534964
86,G:HGNC:9236,G:HGNC:25523,2,GTG,0.02531645569620253
87,G:HGNC:9236,G:HGNC:19967,85,GDpDpDG,0.06419939577039276
88,G:HGNC:9236,G:HGNC:19967,1,GTG,0.014705882352941176
89,G:HGNC:9236,G:HGNC:26762,1,GTG,0.016
90,G:HGNC:9236,G:HGNC:28108,1,GTG,0.015748031496062992
91,G:HGNC:9236,G:HGNC:24855,3,GTG,0.04580152671755725
92,G:HGNC:9236,G:HGNC:29563,3,GTG,0.046875
93,G:HGNC:9236,G:HGNC:25611,2,GTG,0.03076923076923077
94,G:HGNC:9236,G:HGNC:26295,1,GTG,0.016129032258064516
95,G:HGNC:9236,G:HGNC:32700,17,GDpDpDG,0.047685834502103785
96,G:HGNC:9236,G:HGNC:32700,1,GTG,0.014388489208633094
97,G:HGNC:9236,G:HGNC:30181,3,GTG,0.047619047619047616
98,G:HGNC:9236,G:HGNC:28504,2,GTG,0.032
99,G:HGNC:9236,G:HGNC:28599,1,GTG,0.016129032258064516
100,G:HGNC:9236,G:HGNC:25002,4,GTG,0.06201550387596899
101,G:HGNC:9236,G:HGNC:26560,13,GDpDpDG,0.033121019108280254
102,G:HGNC:9236,G:HGNC:26560,1,GTG,0.015503875968992248
103,G:HGNC:9236,G:HGNC:28178,1,GDpDG,0.034482758620689655
104,G:HGNC:9236,G:HGNC:28178,225,GDpDpDG,0.12315270935960591
105,G:HGNC:9236,G:HGNC:26688,1,GTG,0.015873015873015872
106,G:HGNC:9236,G:HGNC:26599,1,GTG,0.016129032258064516
107,G:HGNC:9236,G:HGNC:28910,2,GTG,0.030534351145038167
108,G:HGNC:9236,G:HGNC:25833,1,GTG,0.016129032258064516
109,G:HGNC:9236,G:HGNC:25171,1,GTG,0.015384615384615385
110,G:HGNC:9236,G:HGNC:28118,1,GTG,0.015873015873015872
111,G:HGNC:9236,G:HGNC:26185,2,GTG,0.03125
112,G:HGNC:9236,G:HGNC:33451,1,GTG,0.015625
113,G:HGNC:9236,G:HGNC:26821,1,GTG,0.015873015873015872
114,G:HGNC:9236,G:HGNC:25191,1,GTG,0.016129032258064516
115,G:HGNC:9236,G:HGNC:26834,1,GTG,0.016129032258064516
116,G:HGNC:9236,G:HGNC:28303,8,GDpDpDG,0.01893491124260355
117,G:HGNC:9236,G:HGNC:28303,1,GTG,0.015151515151515152
118,G:HGNC:9236,G:HGNC:27446,1,GTG,0.016129032258064516
119,G:HGNC:9236,G:HGNC:26520,2,GTG,0.028169014084507043
120,G:HGNC:9236,G:HGNC:21177,1,GTG,0.016129032258064516
121,G:HGNC:9236,G:HGNC:30524,1,GTG,0.015873015873015872
122,G:HGNC:9236,G:HGNC:28033,49,GDpDpDG,0.06577181208053691
