,number of gene,range
0,2057,3
1,415,8
2,3025,2
3,4647,1
4,6464,0
5,230,10
6,794,6
7,1094,5
8,1513,4
9,610,7
10,289,9
11,83,13
12,151,11
13,15,20
14,26,17
15,112,12
16,66,14
17,3,29
18,3,22
19,36,15
20,36,16
21,5,23
22,20,18
23,3,25
24,14,19
25,4,21
26,4,26
27,2,24
28,2,28
29,1,33
30,1,30
31,1,34
