,gene1,gene2,ins,mPath,score
12,G:HGNC:6932,G:HGNC:37,1,GDpDpDG,0.01242236
18,G:HGNC:6932,G:HGNC:14637,1,GDpDpDG,0.01980198
25,G:HGNC:6932,G:HGNC:48,2,GDpDpDG,0.002881844
30,G:HGNC:6932,G:HGNC:42,10,GDpDpDG,0.003964321
0,G:HGNC:6932,G:HGNC:59,29,GDpDpDG,0.013398013
2,G:HGNC:6932,G:HGNC:60,33,GDpDpDG,0.023852548
8,G:HGNC:6932,G:HGNC:61,10,GDpDpDG,0.007331378
11,G:HGNC:6932,G:HGNC:67,5,GDpDpDG,0.006116208
13,G:HGNC:6932,G:HGNC:68,8,GDpDpDG,0.007236545
26,G:HGNC:6932,G:HGNC:21396,23,GDpDpDG,0.019327731
28,G:HGNC:6932,G:HGNC:15868,32,GDpDpDG,0.009502598
10,G:HGNC:6932,G:HGNC:17574,1,GDpDpDG,0.02173913
12,G:HGNC:6932,G:HGNC:438,29,GDpDpDG,0.008845509
15,G:HGNC:6932,G:HGNC:443,14,GDpDpDG,0.001728075
18,G:HGNC:6932,G:HGNC:449,49,GDpDpDG,0.030434783
20,G:HGNC:6932,G:HGNC:450,18,GDpDpDG,0.020501139
23,G:HGNC:6932,G:HGNC:451,7,GDpDpDG,0.005828476
0,G:HGNC:6932,G:HGNC:18060,104,GDpDpDG,0.005988886
2,G:HGNC:6932,G:HGNC:735,13,GDpDpDG,0.004358029
19,G:HGNC:6932,G:HGNC:24268,9,GDpDpDG,0.014007782
23,G:HGNC:6932,G:HGNC:738,1,GDpDpDG,0.006493506
1,G:HGNC:6932,G:HGNC:850,1,GMG,0.4
2,G:HGNC:6932,G:HGNC:868,5,GDpDpDG,0.006009615
5,G:HGNC:6932,G:HGNC:18305,17,GDpDpDG,0.025018396
7,G:HGNC:6932,G:HGNC:851,49,GDpDpDG,0.005153284
9,G:HGNC:6932,G:HGNC:854,45,GDpDpDG,0.035985606
13,G:HGNC:6932,G:HGNC:857,36,GDpDpDG,0.012139605
21,G:HGNC:6932,G:HGNC:18481,108,GDpDpDG,0.005011368
0,G:HGNC:6932,G:HGNC:652,4,GDpDpDG,0.025477707
10,G:HGNC:6932,G:HGNC:15853,19,GDpDpDG,0.012446774
6,G:HGNC:6932,G:HGNC:21304,18,GDpDpDG,0.006291506
4,G:HGNC:6932,G:HGNC:3356,1,GDMDG,1
23,G:HGNC:6932,G:HGNC:18129,1,GDG,1
24,G:HGNC:6932,G:HGNC:18129,5,GDpDG,1
15,G:HGNC:6932,G:HGNC:286,1,GDG,1
16,G:HGNC:6932,G:HGNC:286,5,GDpDG,1
17,G:HGNC:6932,G:HGNC:286,1,GDMDG,1
25,G:HGNC:6932,G:HGNC:18129,1,GDMDG,1
19,G:HGNC:6932,G:HGNC:288,1,GDG,1
20,G:HGNC:6932,G:HGNC:288,5,GDpDG,1
21,G:HGNC:6932,G:HGNC:288,1,GDMDG,1
9,G:HGNC:6932,G:HGNC:16522,1,GMG,1
15,G:HGNC:6932,G:HGNC:1530,1,GMG,1
24,G:HGNC:6932,G:HGNC:291,45,GDpDpDG,0.01138808
2,G:HGNC:6932,G:HGNC:7961,1,GDG,1
3,G:HGNC:6932,G:HGNC:7961,5,GDpDG,1
27,G:HGNC:6932,G:HGNC:303,24,GDpDpDG,0.021621622
4,G:HGNC:6932,G:HGNC:7961,1,GDMDG,1
22,G:HGNC:6932,G:HGNC:9236,1,GDMDG,1
3,G:HGNC:6932,G:HGNC:9201,1,GDMDG,1
0,G:HGNC:6932,G:HGNC:89,6,GDpDpDG,0.005612722
22,G:HGNC:6932,G:HGNC:15748,1,GMG,1
2,G:HGNC:6932,G:HGNC:90,21,GDpDpDG,0.011119936
5,G:HGNC:6932,G:HGNC:12517,1,GDG,1
4,G:HGNC:6932,G:HGNC:91,19,GDpDpDG,0.011370437
5,G:HGNC:6932,G:HGNC:92,3,GDpDpDG,0.004918033
6,G:HGNC:6932,G:HGNC:12517,5,GDpDG,1
7,G:HGNC:6932,G:HGNC:319,39,GDpDpDG,0.035994462
7,G:HGNC:6932,G:HGNC:12517,1,GDMDG,1
9,G:HGNC:6932,G:HGNC:12518,1,GDG,1
10,G:HGNC:6932,G:HGNC:12518,5,GDpDG,1
11,G:HGNC:6932,G:HGNC:12518,1,GDMDG,1
12,G:HGNC:6932,G:HGNC:15453,1,GMG,0.125
13,G:HGNC:6932,G:HGNC:12519,1,GDG,1
14,G:HGNC:6932,G:HGNC:12519,5,GDpDG,1
15,G:HGNC:6932,G:HGNC:25070,1,GDpDpDG,0.013986014
15,G:HGNC:6932,G:HGNC:12519,1,GDMDG,1
17,G:HGNC:6932,G:HGNC:2707,3,GDpDpDG,0.015789474
12,G:HGNC:6932,G:HGNC:16740,1,GMG,1
4,G:HGNC:6932,G:HGNC:24044,1,GMG,0.666666667
13,G:HGNC:6932,G:HGNC:6554,1,GMG,0.666666667
