,gene1,gene2,ins,mPath,score
0,G:HGNC:330,G:HGNC:5,1,GTG,0.07142857142857142
1,G:HGNC:330,G:HGNC:7,2,GTG,0.0975609756097561
2,G:HGNC:330,G:HGNC:23336,1,GTG,0.09090909090909091
3,G:HGNC:330,G:HGNC:19,2,GTG,0.10810810810810811
4,G:HGNC:330,G:HGNC:29,1,GTG,0.024691358024691357
5,G:HGNC:330,G:HGNC:33,1,GTG,0.06060606060606061
6,G:HGNC:330,G:HGNC:14637,1,GTG,0.043478260869565216
7,G:HGNC:330,G:HGNC:17265,1,GTG,0.08
8,G:HGNC:330,G:HGNC:76,1,GTG,0.012422360248447204
9,G:HGNC:330,G:HGNC:319,1,GTG,0.046511627906976744
10,G:HGNC:330,G:HGNC:2707,1,GTG,0.028169014084507043
11,G:HGNC:330,G:HGNC:13557,1,GTG,0.0392156862745098
12,G:HGNC:330,G:HGNC:108,1,GTG,0.031746031746031744
13,G:HGNC:330,G:HGNC:125,1,GTG,0.047619047619047616
14,G:HGNC:330,G:HGNC:3571,1,GTG,0.04878048780487805
15,G:HGNC:330,G:HGNC:129,1,GTG,0.044444444444444446
16,G:HGNC:330,G:HGNC:130,1,GTG,0.05555555555555555
17,G:HGNC:330,G:HGNC:132,1,GTG,0.025974025974025976
18,G:HGNC:330,G:HGNC:17780,1,GTG,0.08
19,G:HGNC:330,G:HGNC:143,1,GTG,0.041666666666666664
20,G:HGNC:330,G:HGNC:144,1,GTG,0.04081632653061224
21,G:HGNC:330,G:HGNC:145,1,GTG,0.06666666666666667
22,G:HGNC:330,G:HGNC:163,1,GTG,0.034482758620689655
23,G:HGNC:330,G:HGNC:166,1,GTG,0.027777777777777776
24,G:HGNC:330,G:HGNC:18123,1,GTG,0.044444444444444446
25,G:HGNC:330,G:HGNC:175,1,GTG,0.023255813953488372
26,G:HGNC:330,G:HGNC:186,2,GTG,0.05555555555555555
27,G:HGNC:330,G:HGNC:1839,1,GTG,0.0625
28,G:HGNC:330,G:HGNC:216,1,GTG,0.03508771929824561
29,G:HGNC:330,G:HGNC:188,2,GTG,0.047058823529411764
30,G:HGNC:330,G:HGNC:200,1,GTG,0.07692307692307693
31,G:HGNC:330,G:HGNC:219,1,GTG,0.058823529411764705
32,G:HGNC:330,G:HGNC:220,1,GTG,0.06896551724137931
33,G:HGNC:330,G:HGNC:221,1,GTG,0.06060606060606061
34,G:HGNC:330,G:HGNC:13202,1,GTG,0.05128205128205128
35,G:HGNC:330,G:HGNC:1366,1,GTG,0.05
36,G:HGNC:330,G:HGNC:16305,1,GTG,0.08333333333333333
37,G:HGNC:330,G:HGNC:17178,1,GTG,0.08
38,G:HGNC:330,G:HGNC:232,1,GTG,0.038461538461538464
39,G:HGNC:330,G:HGNC:238,1,GTG,0.05714285714285714
40,G:HGNC:330,G:HGNC:21285,1,GTG,0.04878048780487805
41,G:HGNC:330,G:HGNC:241,4,GTG,0.11267605633802817
42,G:HGNC:330,G:HGNC:943,1,GTG,0.03636363636363636
43,G:HGNC:330,G:HGNC:13633,3,GTG,0.05714285714285714
44,G:HGNC:330,G:HGNC:24040,1,GTG,0.046511627906976744
45,G:HGNC:330,G:HGNC:24041,1,GTG,0.05405405405405406
46,G:HGNC:330,G:HGNC:259,3,GTG,0.09375
47,G:HGNC:330,G:HGNC:28898,1,GTG,0.07142857142857142
48,G:HGNC:330,G:HGNC:15766,2,GTG,0.08695652173913043
49,G:HGNC:330,G:HGNC:262,1,GTG,0.02247191011235955
50,G:HGNC:330,G:HGNC:263,2,GTG,0.045454545454545456
51,G:HGNC:330,G:HGNC:269,1,GTG,0.07142857142857142
52,G:HGNC:330,G:HGNC:283,1,GTG,0.041666666666666664
53,G:HGNC:330,G:HGNC:286,1,GDG,1.0
54,G:HGNC:330,G:HGNC:288,1,GDG,1.0
55,G:HGNC:330,G:HGNC:303,1,GTG,0.058823529411764705
56,G:HGNC:330,G:HGNC:316,1,GTG,0.07407407407407407
57,G:HGNC:330,G:HGNC:317,1,GTG,0.07407407407407407
58,G:HGNC:330,G:HGNC:318,1,GTG,0.07142857142857142
59,G:HGNC:330,G:HGNC:5175,1,GTG,0.058823529411764705
60,G:HGNC:330,G:HGNC:328,1,GTG,0.058823529411764705
61,G:HGNC:330,G:HGNC:329,1,GTG,0.037037037037037035
62,G:HGNC:330,G:HGNC:333,1,GTG,0.017391304347826087
63,G:HGNC:330,G:HGNC:349,1,GTG,0.04878048780487805
64,G:HGNC:330,G:HGNC:21411,1,GTG,0.06666666666666667
65,G:HGNC:330,G:HGNC:10648,1,GTG,0.047619047619047616
66,G:HGNC:330,G:HGNC:379,2,GTG,0.07142857142857142
67,G:HGNC:330,G:HGNC:370,1,GTG,0.043478260869565216
68,G:HGNC:330,G:HGNC:380,1,GTG,0.047619047619047616
69,G:HGNC:330,G:HGNC:381,2,GTG,0.06557377049180328
70,G:HGNC:330,G:HGNC:399,1,GTG,0.037037037037037035
71,G:HGNC:330,G:HGNC:400,2,GTG,0.10810810810810811
72,G:HGNC:330,G:HGNC:405,1,GTG,0.05405405405405406
73,G:HGNC:330,G:HGNC:414,1,GTG,0.03773584905660377
74,G:HGNC:330,G:HGNC:435,1,GTG,0.05128205128205128
75,G:HGNC:330,G:HGNC:443,1,GTG,0.03508771929824561
76,G:HGNC:330,G:HGNC:453,1,GTG,0.04878048780487805
77,G:HGNC:330,G:HGNC:463,1,GTG,0.03508771929824561
78,G:HGNC:330,G:HGNC:464,2,GTG,0.1111111111111111
79,G:HGNC:330,G:HGNC:14604,2,GTG,0.11764705882352941
80,G:HGNC:330,G:HGNC:474,1,GTG,0.08695652173913043
81,G:HGNC:330,G:HGNC:475,1,GTG,0.08695652173913043
82,G:HGNC:330,G:HGNC:476,1,GTG,0.08695652173913043
83,G:HGNC:330,G:HGNC:477,1,GTG,0.07692307692307693
84,G:HGNC:330,G:HGNC:483,3,GTG,0.10344827586206896
85,G:HGNC:330,G:HGNC:484,1,GTG,0.03333333333333333
